Player_Id,Year,Team,Games_Played,Attempts,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Rushes_Over_Twenty_Yards,Rushes_Over_Forty_Yards,Fumbles
anthony-anderson-2,TOTAL,--,32,24,123,5.1,39,1,0,0,0,0,0
anthony-armstrong,2010,WashingtonRedskins,15,0,0,0,0,0,0,0,0,0,0
anthony-armstrong,2011,WashingtonRedskins,14,2,19,9.5,14,0,1,50,0,0,0
anthony-armstrong,2012,DallasCowboys,6,0,0,0,0,0,0,0,0,0,0
anthony-armstrong,TOTAL,--,35,2,19,9.5,14,0,1,50,0,0,0
antonio-andrews,2014,TennesseeTitans,4,0,0,0,0,0,0,0,0,0,0
antonio-andrews,2015,TennesseeTitans,14,143,520,3.6,38,3,28,19.58,4,0,1
antonio-andrews,2016,TennesseeTitans,16,2,15,7.5,9,0,0,0,0,0,0
antonio-andrews,TOTAL,--,34,145,535,3.7,47,3,28,19.31,4,0,1
armando-allen,2011,ChicagoBears,2,15,48,3.2,13,0,3,20,0,0,0
armando-allen,2012,ChicagoBears,15,27,124,4.6,46,1,6,22.22,1,1,0
armando-allen,TOTAL,--,17,42,172,4.1,59,1,9,21.43,1,1,0
arnie-arenz,1934,BostonRedskins,3,4,11,2.8,0,0,0,0,0,0,0
arnie-arenz,TOTAL,--,3,4,11,2.8,0,0,0,0,0,0,0
art-anderson,1961,ChicagoBears,14,0,0,0,0,0,0,0,0,0,0
art-anderson,1962,ChicagoBears,14,1,7,7,0,0,0,0,0,0,0
art-anderson,1963,PittsburghSteelers,13,0,0,0,0,0,0,0,0,0,0
art-anderson,TOTAL,--,41,1,7,7,0,0,0,0,0,0,0
aundrae-allison,2007,MinnesotaVikings,11,2,3,1.5,3,0,0,0,0,0,0
aundrae-allison,2008,MinnesotaVikings,15,1,1,1,1,0,0,0,0,0,0
aundrae-allison,TOTAL,--,26,3,4,1.3,4,0,0,0,0,0,0
b-j-askew,2003,NewYorkJets,16,2,9,4.5,6,0,1,50,0,0,0
b-j-askew,2004,NewYorkJets,16,6,23,3.8,14,0,1,16.67,0,0,0
b-j-askew,2005,NewYorkJets,10,13,59,4.5,14,0,3,23.08,0,0,0
b-j-askew,2006,NewYorkJets,13,6,11,1.8,5,0,1,16.67,0,0,0
b-j-askew,2007,TampaBayBuccaneers,13,0,0,0,0,0,0,0,0,0,0
